event_id,name,year,start_date,end_date,discipline,category,old_level,new_level,result_count
487,Ukrainian Championships,2020,2020-09-06,2020-09-11,MAG and WAG,junior and senior,International Event,National Event,434
619,Ukrainian Championships,2021,2021-04-02,2021-04-07,MAG and WAG,junior and senior,International Event,National Event,574
1327,Ukrainian Championships,2024,2024-09-28,2024-09-29,MAG and WAG,senior,International Event,National Event,94
518,Ukrainian Youth Championships,2020,2020-10-11,2020-10-15,WAG,junior,International Event,National Event,120
875,Vegas Cup National Qualifier,2022,2022-01-21,2022-01-22,WAG,junior and senior,International Event,National Event,182
1338,Vegas Cup National Qualifier,2024,2024-01-26,2024-01-28,WAG,junior and senior,International Event,National Event,389
1561,Vegas Cup National Qualifier,2025,2025-01-16,2025-01-19,WAG,junior and senior,International Event,National Event,314
1713,Vegas Cup National Qualifier,2026,2026-01-16,2026-01-18,WAG,junior and senior,International Event,National Event,166
1126,WOGA Classic National Qualifier,2023,2023-02-17,2023-02-19,WAG,junior and senior,International Event,National Event,252
86,Welsh Championships,2018,2018-02-17,2018-02-18,MAG and WAG,junior and senior,International Event,National Event,458
296,Welsh Championships,2019,2019-02-23,2019-02-24,MAG and WAG,junior and senior,International Event,National Event,548
832,Welsh Championships,2022,2022-02-26,2022-02-27,MAG and WAG,junior and senior,International Event,National Event,350
990,Welsh Championships,2023,2023-03-11,2023-03-12,MAG and WAG,junior and senior,International Event,National Event,559
